threshold,precision,recall,f1,tp,fp,fn,tn
0.4,1.0,0.8462,0.9167,11,0,2,7
0.42,1.0,0.7692,0.8696,10,0,3,7
0.44,1.0,0.7692,0.8696,10,0,3,7
0.46,1.0,0.7692,0.8696,10,0,3,7
0.48,1.0,0.6923,0.8182,9,0,4,7
0.5,1.0,0.6923,0.8182,9,0,4,7
0.52,1.0,0.6923,0.8182,9,0,4,7
0.54,1.0,0.6923,0.8182,9,0,4,7
0.56,1.0,0.6923,0.8182,9,0,4,7
0.58,1.0,0.6154,0.7619,8,0,5,7
0.6,1.0,0.5385,0.7,7,0,6,7
0.62,1.0,0.4615,0.6316,6,0,7,7
0.64,1.0,0.4615,0.6316,6,0,7,7
0.66,1.0,0.3846,0.5556,5,0,8,7
0.68,1.0,0.3077,0.4706,4,0,9,7
0.7,1.0,0.3077,0.4706,4,0,9,7
0.72,1.0,0.3077,0.4706,4,0,9,7
0.74,1.0,0.2308,0.375,3,0,10,7
0.76,1.0,0.2308,0.375,3,0,10,7
0.78,1.0,0.2308,0.375,3,0,10,7
0.8,1.0,0.2308,0.375,3,0,10,7
0.82,1.0,0.1538,0.2667,2,0,11,7
0.84,1.0,0.0769,0.1429,1,0,12,7
0.86,1.0,0.0769,0.1429,1,0,12,7
0.88,1.0,0.0769,0.1429,1,0,12,7
0.9,1.0,0.0769,0.1429,1,0,12,7
0.92,0.0,0.0,0.0,0,0,13,7
0.94,0.0,0.0,0.0,0,0,13,7
